Compound_new_ID	nonstereo_aromatic_smiles	Uniprot_ID	pref_name	activity_id	mean_log	selected_stvalue	ORGANISM
ID_41359	CCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250792', 'CHEMBL'), ('50627874', 'BDB')}	4.66	ki	mouse
ID_47366	CCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(C)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250793', 'CHEMBL'), ('50627875', 'BDB')}	4.96	ki	mouse
ID_111745	CCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(C(C)(C)C)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627877', 'BDB'), ('5250795', 'CHEMBL')}	4.92	ki	mouse
ID_156034	CCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(CO)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250799', 'CHEMBL'), ('50627881', 'BDB')}	4.96	ki	mouse
ID_58403	CCCCCCCCCCCCCCCCCCc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627889', 'BDB'), ('5250807', 'CHEMBL')}	4.92	ki	mouse
ID_168159	CCCCCCCCCCCCc1ccc(S(=O)(=O)Nc2nnc(C(=O)OCC)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627895', 'BDB'), ('5250813', 'CHEMBL')}	4.72	ki	mouse
ID_169373	O=S(=O)(Nc1nncs1)c1ccc(-c2ccccc2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627898', 'BDB'), ('5250816', 'CHEMBL')}	4.72	ki	mouse
ID_62105	CCc1nnc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)s1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627899', 'BDB'), ('5250817', 'CHEMBL')}	4.77	ki	mouse
ID_88374	O=S(=O)(Nc1nnc(CO)s1)c1ccc(-c2ccccc2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250818', 'CHEMBL'), ('50627900', 'BDB')}	4.4	ki	mouse
ID_60726	COCCOCCOCC(=O)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250819', 'CHEMBL'), ('50627901', 'BDB')}	4.39	ki	mouse
ID_18829	CCCCCCCCCCCCc1ccccc1S(=O)(=O)Nc1nncs1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250821', 'CHEMBL'), ('50627903', 'BDB')}	4.74	ki	mouse
ID_141300	Nc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250776', 'CHEMBL'), ('50627872', 'BDB')}		ki	mouse
ID_145024	CC(=O)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250783', 'CHEMBL'), ('50627873', 'BDB')}		ki	mouse
ID_95846	CCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627882', 'BDB'), ('5250800', 'CHEMBL')}		ki	mouse
ID_115585	CCCCc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250801', 'CHEMBL'), ('50627883', 'BDB')}		ki	mouse
ID_66430	CCCCCCc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('5250802', 'CHEMBL'), ('50627884', 'BDB')}		ki	mouse
ID_108392	CCCCCCCCc1ccc(S(=O)(=O)Nc2nncs2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627885', 'BDB'), ('5250803', 'CHEMBL')}		ki	mouse
ID_65851	CCCCCCCCCCCCc1ccc(S(=O)(=O)Nc2nnc(C)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627890', 'BDB'), ('5250808', 'CHEMBL')}		ki	mouse
ID_157019	CCCCCCCCCCCCc1ccc(S(=O)(=O)Nc2nnc(C(C)(C)C)s2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627892', 'BDB'), ('5250810', 'CHEMBL')}		ki	mouse
ID_68956	CCCCCCCCCCCCc1ccc(S(=O)(=O)Nc2ccccc2)cc1	P31750	RAC-alpha serine/threonine-protein kinase	{('50627902', 'BDB'), ('5250820', 'CHEMBL')}		ki	mouse
ID_161734	CCCCCCCCCC(OC(=O)CCCCCCC)C(C)O	P28867	Protein kinase C delta	{('16643225', 'CHEMBL'), ('50508603', 'BDB')}		ki	mouse
ID_106302	NC1(CNC(=O)CC(NS(=O)(=O)c2ccc(N3C(=O)CCC3=O)nc2)c2ccccc2)C2CC3CC(C2)CC1C3	P47811	MAP kinase p38 alpha	{('20663199', 'CHEMBL'), ('51338471', 'BDB')}	4.6	kd	mouse
ID_11904	CC1(C(=O)NCC2(N)C3CC4CC(C3)CC2C4)CN(S(=O)(=O)c2ccc(N3C(=O)CCC3=O)nc2)CCO1	P47811	MAP kinase p38 alpha	{('51338472', 'BDB'), ('20663200', 'CHEMBL')}	4.24	kd	mouse
ID_69228	N=C(N)NCC12CC3CC(CC(C3)C1)C2	P47811	MAP kinase p38 alpha	{('20663201', 'CHEMBL'), ('51338473', 'BDB')}	3.95	kd	mouse
ID_78986	Nc1ncnc2c1ncn2C1OC(C(=O)NCCCCCC(=O)O)C(O)C1O	P05132		{('49968', 'BDB')}	4.25	kd	mouse
ID_18617	NC(=O)CCCNC(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	P05132		{('49969', 'BDB')}	4.01	kd	mouse
ID_44539	NC(=O)CCCCCNC(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	P05132		{('49970', 'BDB')}	4.28	kd	mouse
ID_9814	Nc1ncnc2c1ncn2C1OC(C(=O)NCCCCCC(=O)NCCO)C(O)C1O	P05132		{('49975', 'BDB')}	4.73	kd	mouse
ID_164842	Nc1ncnc2c1ncn2C1OC(C(=O)NCCCCCC(=O)NCc2ccccc2)C(O)C1O	P05132		{('49976', 'BDB')}	4.87	kd	mouse
ID_169457	C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	P00520	Tyrosine-protein kinase ABL	{('51106564', 'BDB'), ('18456158', 'CHEMBL'), ('51106583', 'BDB'), ('18456192', 'CHEMBL')}	4.9	IC50	mouse
ID_110074	CC(CCC(=O)O)C1CCC2C3CCC4CC(OC(N)=O)CCC4(C)C3CCC12C	Q03145	Ephrin type-A receptor 2	{('22469673', 'CHEMBL'), ('22469674', 'CHEMBL')}	4.9	IC50	mouse
ID_15738	COc1ccc(Cc2nc(NC3=NC(=O)N(C)C3=O)n(C)c2Cc2ccc(O)cc2)cc1	Q01279	Epidermal growth factor receptor erbB1	{('50115373', 'BDB'), ('1080537', 'CHEMBL')}	4.95	IC50	mouse
ID_38444	O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12	Q01279	Epidermal growth factor receptor erbB1	{('565751', 'CHEMBL'), ('50996662', 'BDB')}	4.8	IC50	mouse
ID_35409	COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1	Q01279	Epidermal growth factor receptor erbB1	{('50996659', 'BDB'), ('566930', 'CHEMBL')}	4.94	IC50	mouse
ID_87664	COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1	Q01279	Epidermal growth factor receptor erbB1	{('50996657', 'BDB'), ('572079', 'CHEMBL')}	4.34	IC50	mouse
ID_55854	COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1	Q01279	Epidermal growth factor receptor erbB1	{('50996656', 'BDB'), ('584264', 'CHEMBL')}	4.34	IC50	mouse
ID_150274	Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1	Q01279	Epidermal growth factor receptor erbB1	{('587982', 'CHEMBL'), ('50996655', 'BDB')}	4.99	IC50	mouse
ID_172485	O=C1NCc2ccccc2N1c1c(Cl)cccc1Cl	P47811	MAP kinase p38 alpha	{('50253541', 'BDB'), ('413654', 'CHEMBL')}	4.93	IC50	mouse
ID_164034	COc1cc2c(-c3ccccc3)nc(=O)n(C(C)C)c2cc1N1CCOCC1	P47811	MAP kinase p38 alpha	{('418489', 'CHEMBL'), ('50253546', 'BDB')}	4.85	IC50	mouse
ID_73726	CNC(=O)c1c(SSc2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12	P05622	Platelet-derived growth factor receptor beta	{('329899', 'CHEMBL'), ('4950', 'BDB')}	4.55	IC50	mouse
ID_126264	CCN(CC)CCNC(=O)c1c([Se][Se]c2[nH]c3ccccc3c2C(=O)NCCN(CC)CC)[nH]c2ccccc12	P05622	Platelet-derived growth factor receptor beta	{('4956', 'BDB'), ('329907', 'CHEMBL')}	4.89	IC50	mouse
ID_152003	Cn1c([Se][Se]c2c(C(=O)O)c3ccccc3n2C)c(C(=O)O)c2ccccc21	P05622	Platelet-derived growth factor receptor beta	{('331169', 'CHEMBL'), ('4952', 'BDB')}	4.76	IC50	mouse
ID_54251	CCN(CC)CCn1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2CCN(CC)CC)c(C(=O)NC)c2ccccc21	P05622	Platelet-derived growth factor receptor beta	{('4957', 'BDB'), ('335195', 'CHEMBL')}	4.3	IC50	mouse
ID_134390	Nc1ncnc2c1nc(N)n2C1OC(COP(=O)(O)OC2C(O)C(COP(=O)(O)OC3C(O)C(CO)OC3n3c(N)nc4c(N)ncnc43)OC2n2c(N)nc3c(N)ncnc32)C(O)C1O	Q05921	RNase L	{('93768', 'CHEMBL')}	4.0	IC50	mouse
ID_97159	COc1cc(OC)cc(-c2cc3cnc(NCCCCO)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('9974', 'BDB'), ('1489636', 'CHEMBL')}	4.64	IC50	mouse
ID_118935	COc1cc(OC)cc(-c2cc3cnc(NCCCCCO)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('9990', 'BDB'), ('1489646', 'CHEMBL')}	4.96	IC50	mouse
ID_4039	CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1cc(OC)cc(OC)c1	P05622	Platelet-derived growth factor receptor beta	{('10012', 'BDB'), ('1489884', 'CHEMBL')}	4.35	IC50	mouse
ID_12948	COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)nc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('1489894', 'CHEMBL'), ('10013', 'BDB')}	4.51	IC50	mouse
ID_82033	CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1-c1cc(OC)cc(OC)c1	P05622	Platelet-derived growth factor receptor beta	{('10014', 'BDB'), ('1489904', 'CHEMBL')}	4.57	IC50	mouse
ID_174482	CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1	P05622	Platelet-derived growth factor receptor beta	{('1490019', 'CHEMBL'), ('10015', 'BDB')}	4.85	IC50	mouse
ID_88740	COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('1490660', 'CHEMBL'), ('9850', 'BDB')}	4.35	IC50	mouse
ID_24758	COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)cc3nc2N)c1	P05622	Platelet-derived growth factor receptor beta	{('1490669', 'CHEMBL'), ('9851', 'BDB')}	4.3	IC50	mouse
ID_3806	CCNC(=O)Nc1nc2cc(NCCCN3CCN(C)CC3)ncc2cc1-c1cc(OC)cc(OC)c1	P05622	Platelet-derived growth factor receptor beta	{('9852', 'BDB'), ('1490678', 'CHEMBL')}	4.52	IC50	mouse
ID_154679	COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('1490795', 'CHEMBL'), ('9853', 'BDB')}	4.8	IC50	mouse
ID_35773	CCN(CC)CCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1	P05622	Platelet-derived growth factor receptor beta	{('9854', 'BDB'), ('1490805', 'CHEMBL')}	4.74	IC50	mouse
ID_138464	COc1cc(OC)cc(-c2cc3cnc(NCCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('1490815', 'CHEMBL'), ('9870', 'BDB')}	4.82	IC50	mouse
ID_132956	COc1cc(OC)cc(-c2cc3cnc(NCCCCCN4CCN(C)CC4)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('9891', 'BDB'), ('1491089', 'CHEMBL')}	4.57	IC50	mouse
ID_125156	CCN(CC)CCCCNc1cc2nc(N)c(-c3ccccc3)cc2cn1	P05622	Platelet-derived growth factor receptor beta	{('9911', 'BDB'), ('1491227', 'CHEMBL')}	4.92	IC50	mouse
ID_49504	COc1cc(OC)cc(-c2cc3cnc(NCCCO)cc3nc2NC(=O)NC(C)(C)C)c1	P05622	Platelet-derived growth factor receptor beta	{('1491609', 'CHEMBL'), ('9973', 'BDB')}	4.49	IC50	mouse
ID_53456	COc1ccc(O)c(-c2cc(-c3ccccc3Cl)[nH]n2)c1	Q61214	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	{('1735020', 'CHEMBL')}	4.7	IC50	mouse
ID_155734	CN1C(=O)C(=C2SC(Nc3ccc(F)cc3)=NC2=O)c2ccccc21	Q61214	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	{('1735076', 'CHEMBL'), ('50839294', 'BDB')}	4.3	IC50	mouse
ID_3371	CCOC(=O)c1ccc2ncc(C(=O)OCC)c(Nc3ccc(C)c(Br)c3)c2c1	Q61214	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	{('1735091', 'CHEMBL'), ('50839302', 'BDB')}	4.3	IC50	mouse
ID_150939	CCOC(=O)c1cnc2ccc(C(=O)OC)cc2c1Nc1cccc(C(C)=O)c1	Q61214	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	{('50839295', 'BDB'), ('1735102', 'CHEMBL')}	4.3	IC50	mouse
ID_89293	C=CCOc1ccc(Br)cc1C=C1SC(Nc2ccc(Cl)c(C(=O)O)c2)=NC1=O	Q61214	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	{('1735109', 'CHEMBL'), ('50839296', 'BDB')}	4.7	IC50	mouse
ID_66272	Cc1cc(C)c(NC(=O)c2sc(NC(=O)OCc3ccccc3)nc2C)c(C)c1	P06240	Tyrosine-protein kinase LCK	{('23741', 'BDB'), ('1778491', 'CHEMBL')}	4.48	IC50	mouse
ID_110409	Cc1ccc(NC(=O)c2sc(NC(=O)OC(C)(C)C)nc2C)c(C)c1	P06240	Tyrosine-protein kinase LCK	{('23739', 'BDB'), ('1778493', 'CHEMBL')}	4.56	IC50	mouse
ID_56615	COc1cccc(C)c1NC(=O)c1sc(NC(=O)OC(C)(C)C)nc1C	P06240	Tyrosine-protein kinase LCK	{('50246940', 'BDB'), ('1778494', 'CHEMBL'), ('23738', 'BDB')}	4.61	IC50	mouse
ID_130753	Cc1cccc(C(C)C)c1NC(=O)c1sc(NC(=O)OC(C)(C)C)nc1C	P06240	Tyrosine-protein kinase LCK	{('23737', 'BDB'), ('1778495', 'CHEMBL'), ('50246930', 'BDB')}	4.39	IC50	mouse
ID_59968	Cc1ccccc1NC(=O)c1sc(NC(=O)OC(C)(C)C)nc1C	P06240	Tyrosine-protein kinase LCK	{('23736', 'BDB'), ('50246907', 'BDB'), ('1778496', 'CHEMBL')}	4.34	IC50	mouse
ID_48197	O=C(c1cc2cccc(O)c2o1)c1cc2cccc(O)c2o1	P05622	Platelet-derived growth factor receptor beta	{('1874052', 'CHEMBL'), ('50370694', 'BDB')}	4.7	IC50	mouse
ID_67518	Cn1cnc2ccc(Nc3ccnc(Nc4cccc(C(N)=O)c4)n3)cc21	P06240	Tyrosine-protein kinase LCK	{('47528', 'BDB'), ('2038476', 'CHEMBL')}	4.8	IC50	mouse
ID_64001	CCC(C)C1C(C)(O)C(=O)C2(O)CC(C)(O)CC(C)C2C1(C)C(=O)C=COC	P16054	Protein kinase C epsilon	{('2181215', 'CHEMBL'), ('50159255', 'BDB')}	4.44	IC50	mouse
ID_29234	COC(C)c1c(O)cc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O	P16054	Protein kinase C epsilon	{('2181216', 'CHEMBL'), ('50159256', 'BDB')}	4.27	IC50	mouse
ID_155414	COC(C)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O	P16054	Protein kinase C epsilon	{('2181217', 'CHEMBL'), ('50159257', 'BDB')}	4.57	IC50	mouse
ID_165482	CC(O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O	P16054	Protein kinase C epsilon	{('50159258', 'BDB'), ('2181218', 'CHEMBL')}	4.73	IC50	mouse
ID_3357	CCC(C)C(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(N)CO)C(=O)NC(CCC(N)=O)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CCC(N)=O)C(=O)NC(Cc1cnc[nH]1)C(=O)O	P54763	Ephrin type-B receptor 2	{('2187856', 'CHEMBL')}	4.82	IC50	mouse
ID_87823	COc1nc(-c2ccccc2)ccc1-c1noc(-c2ccncc2)n1	P42337	PI3-kinase p110-alpha subunit	{('3016053', 'CHEMBL'), ('50156911', 'BDB')}	4.11	IC50	mouse
ID_128613	Cc1ccc2cc3c(OC(=O)COc4ccccc4)nn(C)c3nc2c1	P42337	PI3-kinase p110-alpha subunit	{('50156929', 'BDB'), ('3016057', 'CHEMBL')}	4.42	IC50	mouse
ID_65082	O=C(CCn1c(=O)oc2cc(Cl)ccc21)Nc1ccccc1	P42337	PI3-kinase p110-alpha subunit	{('50156913', 'BDB'), ('3016059', 'CHEMBL')}	4.72	IC50	mouse
ID_78965	O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(OCCN2CCOCC2)c2ccccc12	P00520	Tyrosine-protein kinase ABL	{('50589677', 'BDB'), ('3397790', 'CHEMBL')}	4.89	IC50	mouse
ID_9475	COc1ccc(-c2nnc(SCc3cccc(Cl)c3)o2)c(O)c1	P42337	PI3-kinase p110-alpha subunit	{('50930307', 'BDB'), ('10860013', 'CHEMBL')}	4.81	IC50	mouse
ID_35839	COc1ccc(-c2nnc(SCc3ccccc3F)o2)c(O)c1	P42337	PI3-kinase p110-alpha subunit	{('50930309', 'BDB'), ('10860014', 'CHEMBL')}	4.47	IC50	mouse
ID_122082	COc1ccc(-c2nnc(SCc3ccc(F)cc3)o2)c(O)c1	P42337	PI3-kinase p110-alpha subunit	{('50930289', 'BDB'), ('10860015', 'CHEMBL')}	4.51	IC50	mouse
ID_34922	COc1ccc(-c2nnc(SCc3cccc([N+](=O)[O-])c3)o2)c(O)c1	P42337	PI3-kinase p110-alpha subunit	{('50930290', 'BDB'), ('10860016', 'CHEMBL')}	4.75	IC50	mouse
ID_64831	Cc1ccc(-c2nnc(SCc3ccc([N+](=O)[O-])cc3)o2)c(O)c1	P42337	PI3-kinase p110-alpha subunit	{('50930292', 'BDB'), ('10860018', 'CHEMBL')}	4.26	IC50	mouse
ID_68644	CCN(CC)CCCOc1ccc(N2C(=O)C(=Cc3ccc(Oc4ccc(Cl)cc4)cc3)SC2=S)cc1	O88351	Inhibitor of nuclear factor kappa-B kinase subunit beta	{('10995966', 'CHEMBL'), ('50951269', 'BDB')}	4.89	IC50	mouse
ID_145476	NC(=O)c1cccc(Oc2ccc(C=C3SC(=S)N(c4ccc(OCCCN5CCCCC5)cc4)C3=O)cc2)c1	O88351	Inhibitor of nuclear factor kappa-B kinase subunit beta	{('10995974', 'CHEMBL'), ('50951276', 'BDB')}	4.52	IC50	mouse
ID_26120	NC(=O)c1ccc(Oc2ccc(C=C3SC(=S)N(c4ccc(OCCCN5CCCCC5)cc4)C3=O)cc2)cc1	O88351	Inhibitor of nuclear factor kappa-B kinase subunit beta	{('10995975', 'CHEMBL'), ('50951228', 'BDB')}	4.52	IC50	mouse
ID_40779	CN1CCN(CCCOc2ccc(N3C(=O)C(=Cc4ccc(Oc5ccccc5C(N)=O)cc4)SC3=S)cc2)CC1	O88351	Inhibitor of nuclear factor kappa-B kinase subunit beta	{('10995976', 'CHEMBL'), ('50951229', 'BDB')}	4.92	IC50	mouse
ID_75673	CC(C)C(N)C(=O)OCC(O)CNc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1	P22518	Dual specificity protein kinase CLK1	{('11009488', 'CHEMBL'), ('51027094', 'BDB')}	4.92	IC50	mouse
ID_107658	COc1cc(-c2cnc3[nH]c(=O)n(-c4ccc5[nH]ccc5c4)c3n2)cc(OC)c1OC	Q80XI6	Mitogen-activated protein kinase kinase kinase 11	{('51079904', 'BDB'), ('13476442', 'CHEMBL')}	4.63	IC50	mouse
ID_87058	O=C(Nc1nc2cc3c(cc2[nH]1)OC(F)(F)O3)c1csc(NC(=O)c2ccccc2OC(F)(F)F)n1	Q9DC28	Casein kinase I delta	{('15104945', 'CHEMBL'), ('15104947', 'CHEMBL'), ('15104944', 'CHEMBL'), ('15104946', 'CHEMBL')}	4.37	IC50	mouse
ID_47470	CCOc1cccc(F)c1-c1cccc2nc(Nc3cc(OC)c(OC)c(OC)c3)oc12	Q9WUT3	Ribosomal protein S6 kinase alpha-2	{('15035088', 'CHEMBL')}	4.97	IC50	mouse
ID_86552	COc1ccc(C)cc1-c1cccc2nc(Nc3cc(OC)c(OC)c(OC)c3)oc12	Q9WUT3	Ribosomal protein S6 kinase alpha-2	{('15035089', 'CHEMBL')}	4.84	IC50	mouse
ID_100530	COc1cccc(Nc2nc3cccc(-c4c(F)cccc4OC)c3o2)c1	Q9WUT3	Ribosomal protein S6 kinase alpha-2	{('15035090', 'CHEMBL')}	4.81	IC50	mouse
ID_24516	COc1cc(Nc2nc3cccc(-c4c(F)cccc4OC)c3o2)cc(OC)c1	Q9WUT3	Ribosomal protein S6 kinase alpha-2	{('15035091', 'CHEMBL')}	4.76	IC50	mouse
ID_62691	COc1cc(Nc2nc3cccc(-c4ccccc4F)c3o2)cc(OC)c1OC	Q9WUT3	Ribosomal protein S6 kinase alpha-2	{('15035092', 'CHEMBL')}	4.74	IC50	mouse
ID_16616	COc1cc(Nc2nc3cccc(-c4nc(C)[nH]c4C)c3o2)cc(OC)c1OC	Q9WUT3	Ribosomal protein S6 kinase alpha-2	{('15035093', 'CHEMBL')}	4.7	IC50	mouse
